paper	year	no_emails_worked	no_response	response_no_help	data_lost	cant_share	data_received	number_emails_paper	number_emails_web	number_bounced_paper_emails	number_bounced_web_emails
1	1991	0	0	0	0	1	0	0	1	0	0
2	1991	1	0	0	0	0	0	1	0	1	0
3	1991	0	0	0	1	0	0	2	0	0	0
4	1991	0	1	0	0	0	0	2	0	1	0
5	1991	0	1	0	0	0	0	1	0	0	0
6	1991	0	1	0	0	0	0	1	0	0	0
7	1991	1	0	0	0	0	0	1	0	1	0
8	1991	0	1	0	0	0	0	0	1	0	0
9	1991	1	0	0	0	0	0	0	1	0	1
10	1991	0	0	1	0	0	0	1	0	0	0
11	1991	0	0	1	0	0	0	1	0	0	0
12	1991	0	0	0	1	0	0	0	1	0	1
13	1991	1	0	0	0	0	0	0	0	0	0
14	1991	1	0	0	0	0	0	0	1	0	1
15	1991	0	1	0	0	0	0	0	1	0	0
16	1991	0	1	0	0	0	0	0	2	0	0
17	1991	0	0	0	1	0	0	1	0	0	0
18	1991	0	1	0	0	0	0	0	2	0	0
19	1991	0	1	0	0	0	0	0	1	0	0
20	1991	1	0	0	0	0	0	0	1	0	1
21	1991	1	0	0	0	0	0	0	1	0	1
22	1991	1	0	0	0	0	0	0	1	0	1
23	1991	0	1	0	0	0	0	0	1	0	0
24	1991	0	0	0	0	0	1	0	2	0	2
25	1991	0	0	0	1	0	0	0	2	0	0
26	1991	1	0	0	0	0	0	0	0	0	0
27	1993	0	0	1	0	0	0	0	1	0	0
28	1993	1	0	0	0	0	0	0	0	0	0
29	1993	1	0	0	0	0	0	1	0	1	0
30	1993	0	1	0	0	0	0	1	0	0	0
31	1993	0	0	1	0	0	0	2	0	0	0
32	1993	0	0	0	1	0	0	1	0	0	0
33	1993	0	1	0	0	0	0	1	0	0	0
34	1993	1	0	0	0	0	0	0	0	0	0
35	1993	0	1	0	0	0	0	2	0	1	0
36	1993	0	1	0	0	0	0	2	0	1	0
37	1993	0	1	0	0	0	0	1	0	0	0
38	1993	0	1	0	0	0	0	2	0	1	0
39	1993	1	0	0	0	0	0	0	1	0	1
40	1993	0	0	0	1	0	0	0	1	0	0
41	1993	1	0	0	0	0	0	0	1	0	1
42	1993	1	0	0	0	0	0	0	1	0	1
43	1993	0	1	0	0	0	0	0	1	0	0
44	1993	0	0	0	1	0	0	0	1	0	1
45	1993	0	0	0	0	0	1	0	2	0	1
46	1993	1	0	0	0	0	0	0	2	0	2
47	1993	0	0	0	1	0	0	0	1	0	0
48	1993	0	1	0	0	0	0	0	2	0	0
49	1993	0	0	1	0	0	0	0	2	0	1
50	1993	0	0	0	1	0	0	0	1	0	0
51	1993	1	0	0	0	0	0	0	1	0	1
52	1993	0	1	0	0	0	0	0	2	0	1
53	1993	0	1	0	0	0	0	0	1	0	0
54	1993	1	0	0	0	0	0	0	1	0	1
55	1993	1	0	0	0	0	0	0	0	0	0
56	1993	0	1	0	0	0	0	0	2	0	0
57	1993	0	0	0	1	0	0	0	1	0	0
58	1993	0	0	0	1	0	0	0	1	0	0
59	1993	1	0	0	0	0	0	0	0	0	0
60	1993	1	0	0	0	0	0	0	2	0	2
61	1993	1	0	0	0	0	0	0	0	0	0
62	1993	1	0	0	0	0	0	0	1	0	1
63	1995	1	0	0	0	0	0	0	1	0	1
64	1995	1	0	0	0	0	0	0	1	0	1
65	1995	0	0	0	0	1	0	1	0	0	0
66	1995	0	0	0	1	0	0	0	1	0	0
67	1995	1	0	0	0	0	0	0	0	0	0
68	1995	1	0	0	0	0	0	0	0	0	0
69	1995	0	1	0	0	0	0	0	1	0	0
70	1995	0	0	0	0	0	1	0	1	0	0
71	1995	1	0	0	0	0	0	0	0	0	0
72	1995	0	0	0	0	0	1	0	1	0	0
73	1995	1	0	0	0	0	0	0	0	0	0
74	1995	1	0	0	0	0	0	0	1	0	1
75	1995	1	0	0	0	0	0	0	0	0	0
76	1995	0	0	0	0	0	1	0	1	0	0
77	1995	1	0	0	0	0	0	0	0	0	0
78	1995	0	1	0	0	0	0	0	2	0	0
79	1995	0	1	0	0	0	0	0	2	0	1
80	1995	1	0	0	0	0	0	0	1	0	1
81	1995	0	1	0	0	0	0	0	3	0	1
82	1995	0	0	0	1	0	0	0	2	0	2
83	1995	0	0	0	0	0	1	0	3	0	1
84	1995	0	1	0	0	0	0	0	2	0	1
85	1995	0	0	0	0	1	0	0	2	0	0
86	1995	0	0	0	1	0	0	0	1	0	0
87	1995	0	0	0	1	0	0	0	2	0	1
88	1995	0	0	0	0	0	1	0	1	0	0
89	1995	0	0	0	1	0	0	0	1	0	0
90	1995	1	0	0	0	0	0	0	0	0	0
91	1995	0	0	0	1	0	0	0	3	0	1
92	1995	0	1	0	0	0	0	0	1	0	0
93	1995	0	0	0	1	0	0	0	1	0	0
94	1995	0	0	0	0	0	1	0	2	0	0
95	1995	0	1	0	0	0	0	0	1	0	0
96	1995	0	1	0	0	0	0	0	2	0	1
97	1995	0	1	0	0	0	0	0	2	0	0
98	1997	1	0	0	0	0	0	0	2	0	2
99	1997	1	0	0	0	0	0	0	1	0	1
100	1997	0	1	0	0	0	0	1	1	0	1
101	1997	1	0	0	0	0	0	0	0	0	0
102	1997	0	0	0	0	0	1	2	0	0	0
103	1997	1	0	0	0	0	0	0	0	0	0
104	1997	0	0	0	0	0	1	1	0	0	0
105	1997	0	0	0	0	0	1	1	2	0	1
106	1997	1	0	0	0	0	0	0	0	0	0
107	1997	1	0	0	0	0	0	2	0	2	0
108	1997	1	0	0	0	0	0	0	1	0	1
109	1997	1	0	0	0	0	0	0	0	0	0
110	1997	0	0	0	0	1	0	0	2	0	1
111	1997	0	1	0	0	0	0	1	2	1	0
112	1997	0	1	0	0	0	0	0	1	0	0
113	1997	0	0	0	1	0	0	0	1	0	0
114	1997	0	0	0	0	1	0	1	2	1	0
115	1997	0	1	0	0	0	0	0	2	0	1
116	1997	0	1	0	0	0	0	0	2	0	1
117	1997	0	0	1	0	0	0	0	2	0	0
118	1997	0	1	0	0	0	0	1	1	0	0
119	1997	0	0	0	0	1	0	1	1	0	0
120	1997	0	0	0	0	0	1	0	1	0	0
121	1997	0	1	0	0	0	0	1	0	0	0
122	1997	0	1	0	0	0	0	0	1	0	0
123	1997	1	0	0	0	0	0	0	1	0	1
124	1997	0	0	0	1	0	0	0	2	0	0
125	1997	1	0	0	0	0	0	0	1	0	1
126	1997	1	0	0	0	0	0	0	1	0	1
127	1997	0	1	0	0	0	0	0	3	0	1
128	1999	1	0	0	0	0	0	0	0	0	0
129	1999	0	0	0	0	0	1	2	0	0	0
130	1999	0	1	0	0	0	0	2	0	1	0
131	1999	0	1	0	0	0	0	2	1	2	0
132	1999	1	0	0	0	0	0	2	0	2	0
133	1999	0	0	0	0	0	1	1	0	0	0
134	1999	1	0	0	0	0	0	0	0	0	0
135	1999	0	1	0	0	0	0	1	1	0	1
136	1999	1	0	0	0	0	0	0	2	0	2
137	1999	0	0	1	0	0	0	1	1	0	0
138	1999	0	1	0	0	0	0	0	1	0	0
139	1999	0	1	0	0	0	0	1	2	0	1
140	1999	1	0	0	0	0	0	1	1	1	1
141	1999	1	0	0	0	0	0	0	1	0	1
142	1999	1	0	0	0	0	0	0	2	0	2
143	1999	0	1	0	0	0	0	0	1	0	0
144	1999	1	0	0	0	0	0	1	0	1	0
145	1999	1	0	0	0	0	0	0	0	0	0
146	1999	0	0	0	0	0	1	1	1	0	0
147	1999	1	0	0	0	0	0	0	1	0	1
148	1999	0	1	0	0	0	0	2	1	1	0
149	1999	1	0	0	0	0	0	0	1	0	1
150	1999	1	0	0	0	0	0	0	1	0	1
151	1999	1	0	0	0	0	0	0	2	0	2
152	1999	0	1	0	0	0	0	1	1	0	1
153	1999	1	0	0	0	0	0	1	1	1	1
154	1999	0	0	0	0	0	1	0	2	0	1
155	1999	1	0	0	0	0	0	0	2	0	2
156	1999	0	1	0	0	0	0	1	1	1	0
157	1999	0	0	0	0	0	1	1	1	1	0
158	1999	1	0	0	0	0	0	0	0	0	0
159	1999	0	1	0	0	0	0	1	1	0	0
160	1999	1	0	0	0	0	0	1	2	1	2
161	1999	0	0	0	0	0	1	1	1	0	0
162	1999	0	1	0	0	0	0	0	2	0	1
163	1999	1	0	0	0	0	0	0	0	0	0
164	1999	0	0	0	1	0	0	1	1	0	0
165	1999	0	1	0	0	0	0	1	1	0	1
166	1999	0	1	0	0	0	0	0	1	0	0
167	1999	1	0	0	0	0	0	1	1	1	1
168	2001	0	1	0	0	0	0	0	1	0	0
169	2001	0	0	0	1	0	0	0	1	0	0
170	2001	0	1	0	0	0	0	1	2	0	0
171	2001	0	1	0	0	0	0	1	0	0	0
172	2001	0	1	0	0	0	0	1	0	0	0
173	2001	0	0	0	1	0	0	0	1	0	0
174	2001	1	0	0	0	0	0	1	0	1	0
175	2001	0	0	0	0	0	1	0	2	0	1
176	2001	1	0	0	0	0	0	0	1	0	1
177	2001	0	0	1	0	0	0	0	2	0	1
178	2001	1	0	0	0	0	0	0	0	0	0
179	2001	1	0	0	0	0	0	1	0	1	0
180	2001	1	0	0	0	0	0	1	1	1	1
181	2001	1	0	0	0	0	0	1	0	1	0
182	2001	0	1	0	0	0	0	0	2	0	0
183	2001	0	0	0	1	0	0	1	0	0	0
184	2001	0	0	0	0	0	1	1	1	0	0
185	2001	0	0	1	0	0	0	1	1	0	1
186	2001	0	0	1	0	0	0	1	2	1	1
187	2001	0	1	0	0	0	0	0	2	0	0
188	2001	0	0	0	1	0	0	1	2	1	1
189	2001	1	0	0	0	0	0	1	0	1	0
190	2001	0	1	0	0	0	0	2	0	1	0
191	2001	0	1	0	0	0	0	2	1	1	1
192	2001	0	0	0	0	0	1	0	1	0	1
193	2001	1	0	0	0	0	0	1	0	1	0
194	2001	0	0	0	0	0	1	1	1	1	0
196	2001	0	1	0	0	0	0	2	1	1	1
197	2001	0	1	0	0	0	0	1	0	0	0
198	2001	0	1	0	0	0	0	1	1	1	0
199	2001	0	1	0	0	0	0	1	1	1	0
200	2001	1	0	0	0	0	0	1	0	1	0
201	2001	0	0	0	0	0	1	1	1	0	0
202	2001	0	0	0	0	0	1	1	2	1	0
203	2001	1	0	0	0	0	0	1	1	1	1
204	2001	0	0	0	0	0	1	1	1	1	0
205	2001	1	0	0	0	0	0	0	2	0	2
206	2001	1	0	0	0	0	0	2	0	2	0
207	2001	1	0	0	0	0	0	1	0	1	0
208	2001	0	1	0	0	0	0	1	2	1	0
209	2001	0	0	0	0	0	1	2	1	0	0
210	2001	0	1	0	0	0	0	1	2	0	2
211	2001	0	1	0	0	0	0	0	2	0	1
212	2003	0	1	0	0	0	0	1	1	0	0
213	2003	0	0	0	0	0	1	1	0	0	0
